Description,FY24Budget,FY25Budget,Change,ChangePercent
CBS Dues & Fees - Classroom,"1,545","1,545",-,0.0%
CBS General Aide,"191,473","205,208","13,736",7.2%
CBS School Secretary,"161,539","167,877","6,338",3.9%
CBS Supplies - Guidance,248,368,120,48.3%
CBS Supplies - Testing Materials,"2,129",-,"(2,129)",-100.0%
CBS Travel/Meetings,"3,525","4,525","1,000",28.4%
CBS Library/Media Salary - Cert,"48,186","49,429","1,243",2.6%
CBS Media/Technology - Non-Cert,"20,293","21,636","1,344",6.6%
CBS Supplies - Office,"5,000","5,000",-,0.0%
CBS Postage,100,405,305,305.0%
CBS Printing & Publishing,"1,100","4,244","3,144",285.8%
CBS Dues & Fees - Admin,338,338,-,0.0%
CBS Custodians,"248,622","258,453","9,831",4.0%
CBS Extra-Curric. Stipends,"10,826","10,702",(124),-1.1%
CBS Monitors,"41,787","43,783","1,996",4.8%
CBS Outside Speakers,"3,960","4,000",40,1.0%
CBS Supplies - Quality Council,"1,050","1,600",550,52.4%
CPAT Parent Educators,"66,796","68,314","1,517",2.3%
CPAT Supplies,500,575,75,15.0%
CPAT Office Supplies,-,250,250,100.0%
CPAT Initial Non-Instructional Equip't,350,350,-,0.0%
CPAT Dues & Fees,"1,200","1,500",300,25.0%
BOE - Travel & Meetings,"15,200","15,800",600,3.9%
District Curriculum Writing/Development,"46,279","40,819","(5,460)",-11.8%
District Professional Development,"81,437","78,077","(3,360)",-4.1%
CO Secretaries,"215,036","212,603","(2,434)",-1.1%
CO Conferences,"2,000","2,000",-,0.0%
CO Postage,"9,805","12,000","2,195",22.4%
CO Employment Advertising,500,500,-,0.0%
CO Printing & Publishing,"2,535","4,585","2,050",80.9%
CO Supplies - Office,"8,150","9,000",850,10.4%
CO Professional Materials,"2,050","2,100",50,2.4%
CO Replacement Equipment,750,652,(98),-13.1%
CO Dues & Fees - Administration,"12,683","17,179","4,496",35.4%
District Administration,"1,550,771","1,612,050","61,279",4.0%
Technology - Non-Cert,"490,963","518,591","27,628",5.6%
CREC Consultants,"2,055",-,"(2,055)",-100.0%
Custodians - Non-Cert,"145,184","141,981","(3,203)",-2.2%
Custodians - Subs & OT,"45,000","40,000","(5,000)",-11.1%
Custodians OT - School Athletic Events,"1,500","1,500",-,0.0%
Custodians OT - Facility Rentals,"1,200","1,200",-,0.0%
Custodians OT - Non Athletic school events,"1,200","1,200",-,0.0%
Custodians - Clothing Allowance,"14,250","16,700","2,450",17.2%
Custodians - Summer,"15,620","16,280",661,4.2%
Sick Leave Buyout - Custodian,-,"3,000","3,000",100.0%
Maintenance - Vehicle Operation,"1,300","1,300",-,0.0%
Maintenance - Environmental/Safety,"16,865","17,571",706,4.2%
Maintenance - HVAC,"18,000","15,000","(3,000)",-16.7%
Maintenance - Grounds Up Keep,"23,500","26,500","3,000",12.8%
Maintenance - Glass,500,500,-,0.0%
Maintenance - Boiler,"20,000","20,000",-,0.0%
Maintenance - Field (P & R),"7,950","8,550",600,7.5%
Utilities - Sewer,"7,220","7,000",(220),-3.0%
Utilities - Water,"38,503","36,500","(2,003)",-5.2%
Utilities - Electricity,"456,664","429,457","(27,207)",-6.0%
Utilities - Refuse Removal,"38,459","33,847","(4,612)",-12.0%
Utilities - Propane Gas,"21,657","13,386","(8,271)",-38.2%
Facil./Maint Equipment Repair,"1,400","2,000",600,42.9%
Facilities Contracted Services,"60,544","63,465","2,921",4.8%
Rental Equipt. - Maintenance,785,"1,628",843,107.4%
Facil./Maint. - Travel & Meetings,245,-,(245),-100.0%
Custodian Supplies,"57,000","55,076","(1,924)",-3.4%
Building Maintenance,"93,650","61,500","(32,150)",-34.3%
Fuel - Heat - Gas,"116,550","118,159","1,609",1.4%
Fuel - Heat - Oil,"62,886","83,554","20,668",32.9%
Facil/Maint Equipment,"4,900","7,000","2,100",42.9%
Facilities Licensing/ Inspection Fees,"19,155","24,150","4,995",26.1%
Utilities - Telephone,"36,900","41,000","4,100",11.1%
SpED Summer Tutors,-,"24,500","24,500",100.0%
Special Ed Teachers,"1,424,130","1,565,558","141,428",9.9%
SpED Paras,"579,977","1,121,200","541,222",93.3%
SpED Paras - Summer,"22,184","25,000","2,816",12.7%
SpED Secretary,"64,643","66,593","1,950",3.0%
Legal Services - SpED,"30,000","30,000",-,0.0%
SpED Contracted Services,"81,059","81,059",-,0.0%
SpED Supplies - Teaching,"9,278","4,105","(5,173)",-55.8%
SpED Supplies - Office,610,795,186,30.5%
SpED Supplies - Testing Materials,"9,858","9,600",(258),-2.6%
SpED Textbooks,200,-,(200),-100.0%
SpED Initial Instruc. Equipt,"1,000",-,"(1,000)",-100.0%
SpED Dues & Fees,"2,309","2,514",205,8.9%
PPS Homebound Tutors,"5,000","4,000","(1,000)",-20.0%
SpED Summer Certified Staff,"21,529","38,000","16,471",76.5%
PPS Social Worker,"237,301","261,152","23,851",10.1%
PPS School Pyschologists,"365,744","376,399","10,655",2.9%
PPS Speech/Language,"275,886","252,748","(23,139)",-8.4%
PPS Pre-K/ABA Teachers,"198,855","205,096","6,241",3.1%
SpED Nursing Serv. - Summer,"8,158","9,540","1,382",16.9%
SpED Van Monitors,"11,700","12,488",788,6.7%
SpED Nursing Serv.,"95,013","103,800","8,787",9.2%
Nursing Supplies,-,"15,000","15,000",100.0%
SpED Outside Instruction,"207,328","155,395","(51,933)",-25.0%
SpED Consultant Services/Therapy,"431,813","532,939","101,126",23.4%
PPS Travel & Meetings,"1,250","1,250",-,0.0%
Transportation Out of District - SpED,"736,313","690,804","(45,509)",-6.2%
Transportation in District - SpED,"267,506","316,579","49,073",18.3%
Transportation Magnet - SpED,"68,834","72,321","3,487",5.1%
Tuition Out of District - SpED,"2,179,392","2,850,262","670,870",30.8%
District Provision for Salary,"52,802","79,590","26,788",50.7%
DB Contribution -  Employee Benefits,"372,514","390,000","17,486",4.7%
OPEB - Employee Benefits,"3,067","3,343",276,9.0%
Defined Contribution Plan,"254,297","257,183","2,886",1.1%
Health & Dental Self Insurance,"4,180,367","4,514,534","334,167",8.0%
Disability & Life Insurance,"55,710","61,465","5,755",10.3%
Worker's Compensation,"144,825","152,859","8,034",5.5%
Social Security/Medicare Employer,"575,000","660,898","85,898",14.9%
Unemployment Compensation,"34,400","16,200","(18,200)",-52.9%
District Teacher Substitutes,"250,208","214,987","(35,221)",-14.1%
Tuition Reimb.- Teachers,"80,000","80,000",-,0.0%
Music Equipment & Repairs,"8,000","12,440","4,440",55.5%
District Contracted Services,"130,000","136,000","6,000",4.6%
Music - Supplies,"17,191","18,003",812,4.7%
Music - Textbooks,"1,375","1,869",494,35.9%
Music New Equipment,0,"6,315","6,315",100.0%
Music Dues & Fees,"9,318","10,186",868,9.3%
District TESOL Instruction,"63,876","67,828","3,952",6.2%
Summer Certified Staff,"30,548","32,000","1,452",4.8%
District School Nurses,"198,993","204,993","6,000",3.0%
District Nurse/Health Substitutes,"27,217","28,031",814,3.0%
Summer Non Certified Staff,"4,815",-,"(4,815)",-100.0%
Summer Nursing - Summer School,"7,200","5,760","(1,440)",-20.0%
District Health Aides,"60,568","62,915","2,346",3.9%
District Sick Leave - Non-Cert,"41,462",-,"(41,462)",-100.0%
TESOL Travel & Meetings,975,"1,025",50,5.1%
District Supplies - Nursing,"5,175","6,038",863,16.7%
TESOL Instruc. Materials,"1,275","1,325",50,3.9%
Nursing/Health Supplies,"3,998","5,305","1,307",32.7%
School Physician,"2,500","2,500",-,0.0%
District - Bottled Water Consolidated,"6,000","10,000","4,000",66.7%
District - Travel & Meetings,"9,850","8,700","(1,150)",-11.7%
BOE - Supplies/Recognition,"16,695","19,470","2,775",16.6%
Tuition Reimb. - AAC,"5,000","5,000",-,0.0%
Transportation K-12,"930,933","966,500","35,567",3.8%
Transportation Fuel,"164,001","148,472","(15,529)",-9.5%
Transportation - Voc-Ed,"94,335","94,000",(335),-0.4%
Insurance - Transportation,"50,000","50,000",-,0.0%
Music - Travel/Transportation,"5,465","5,646",181,3.3%
Legal Services - Reg Ed,"25,000","30,000","5,000",20.0%
Rental Equipt. & Leasing - District,"9,400","4,797","(4,603)",-49.0%
Insurance - Property/Liability,"139,461","152,010","12,549",9.0%
District - Printing & Publishing,"5,225","3,600","(1,625)",-31.1%
District Replacement Equipment,"1,000",-,"(1,000)",-100.0%
District Dues & Fees,"30,990","19,326","(11,664)",-37.6%
District Licensing & Security Fees,"4,300","9,770","5,470",127.2%
District Safety Team,"83,680","151,864","68,184",81.5%
District - Supplies - Auditorium,-,500,500,100.0%
Food Service Stoploss,"5,000","10,000","5,000",100.0%
District Unified Sports Salaries,"2,154","2,208",54,2.5%
Unified Trans/Travel/Meetings,"1,950","1,644",(306),-15.7%
Unified Awards,100,250,150,150.0%
Tuition Agri/Vocational School,"52,284","53,591","1,307",2.5%
Tuition Adult Education,"15,732","17,228","1,496",9.5%
Tech New Equipment,"2,580",-,"(2,580)",-100.0%
Tech Replacement Equipment,-,"34,715","34,715",100.0%
CIP Technology Infrastructure,-,"17,967","17,967",100.0%-
Tech Contracted Services,"95,629",-,"(95,629)",100.0%-
Tech Supplies - Technology,"18,335",-,"(18,335)",100.0%-
Tech Software,"8,560",-,"(8,560)",100.0%
Tech Educational,0,"206,570","206,570",100.0%
CIP District Infrastructure,-,"53,169","53,169",100.0%
