Description,FY25_1stBudget,FY25_2ndBudget,FY25_BudgetChange
PPS Travel & Meetings,1250,1250,0
Transportation Out of District - SpED,690804,690804,0
Transportation in District - SpED,316579,316579,0
Transportation Magnet - SpED,72321,72321,0
Tuition Out of District - SpED,2850262,2850262,0
District Provision for Salary,79590,79590,0
DB Contribution -  Employee Benefits,390000,390000,0
OPEB - Employee Benefits,3343,3343,0
Defined Contribution Plan,257183,257183,0
Health & Dental Self Insurance,4514534,4441738,-72796
Disability & Life Insurance,61465,61465,0
Worker's Compensation,152859,152859,0
Social Security/Medicare Employer,660898,660898,0
Unemployment Compensation,16200,16200,0
District Teacher Substitutes,214987,214987,0
Tuition Reimb.- Teachers,80000,80000,0
Music Equipment & Repairs,12440,12440,0
District Contracted Services,136000,136000,0
Music - Supplies,18003,18003,0
Music - Textbooks,1869,1869,0
Music New Equipment,6315,6315,0
Music Dues & Fees,10186,10186,0
District TESOL Instruction,67828,67828,0
Summer Certified Staff,32000,12000,-20000
District School Nurses,204993,204993,0
District Nurse/Health Substitutes,28031,28031,0
Summer Non Certified Staff,0,0,0
Summer Nursing - Summer School,5760,5760,0
District Health Aides,62915,62915,0
District Sick Leave - Non-Cert,0,0,0
TESOL Travel & Meetings,1025,1025,0
District Supplies - Nursing,6038,6038,0
TESOL Instruc. Materials,1325,1325,0
Nursing/Health Supplies,5305,5305,0
School Physician,2500,2500,0
District - Bottled Water Consolidated,10000,10000,0
District - Travel & Meetings,8700,8700,0
BOE - Supplies/Recognition,19470,19470,0
Tuition Reimb. - AAC,5000,5000,0
Transportation K-12,966500,938500,-28000
Transportation Fuel,148472,148472,0
Transportation - Voc-Ed,94000,94000,0
Insurance - Transportation,50000,50000,0
Music - Travel/Transportation,5646,5646,0
Legal Services - Reg Ed,30000,30000,0
Rental Equip. & Leasing - District,4797,4797,0
Insurance - Property/Liability,152010,149124,-2886
District - Printing & Publishing,3600,3600,0
District Replacement Equipment,0,0,0
District Dues & Fees,19326,19326,0
District Licensing & Security Fees,9770,9770,0
District Safety Team,151864,121864,-30000
District - Supplies - Auditorium,500,500,0
Food Service Stop loss,10000,10000,0
District Unified Sports Salaries,2208,2208,0
Unified Trans/Travel/Meetings,1644,1644,0
Unified Awards,250,250,0
Tuition Agri/Vocational School,53591,0,-53591
Tuition Adult Education,17228,17218,-10
Tech New Equipment,0,0,0
Tech Replacement Equipment,34715,0,-34715
CIP Technology Infrastructure,17967,0,-17967
Tech Contracted Services,0,0,0
Tech Supplies - Technology,0,0,0
Tech Software,0,0,0
Tech Educational,206570,202785,-3785
CIP District Infrastructure,53169,11850,-41319
