Description,FY24Budget,FY25Budget,Change,ChangePercent
CMS Instructional Materials,-,"6,070","6,070",100.00%
CMS Library Books,"2,420","2,580",160,6.60%
CMS Furniture,-,525,525,100.00%
CMS Dues & Fees - Classroom,"1,692","1,562",-130,-7.70%
CMS Guidance,"88,920","98,892","9,972",11.20%
CMS Tutor - Lang Arts Lab,-,"24,675","24,675",100.00%
CMS Tutor - Math Lab,-,"24,500","24,500",100.00%
CMS School Secretaries,"85,693","77,596","-8,097",-9.40%
CMS Supplies - Guidance,200,199,-1,-0.50%
CMS Supplies - Testing Materials,"1,460","1,600",140,9.60%
CMS Travel/Meetings,500,500,-,0.00%
CMS Library/Media,"27,707","36,724","9,017",32.50%
CMS Media/Technology,"21,854","22,946","1,092",5.00%
CMS Supplies - Office,924,925,1,0.10%
CMS Postage,100,885,785,785.00%
CMS Printing & Publishing,"1,571","2,085",514,32.70%
CMS Dues & Fees - Admin,"1,225","1,395",170,13.90%
CMS Custodians,"60,715","70,552","9,837",16.20%
CMS Transportation - Athletics,"6,237","6,904",667,10.70%
CMS Transportation Stud. Act/Late Bus,-,"2,027","2,027",100.00%
CMS Extra Curriculum Stipends,"32,109","36,477","4,368",13.60%
CMS Cafeteria Duty Stipend,"10,416","10,604",188,1.80%
CMS Coaching Stipends,"15,614",584,"-15,030",-96.30%
CMS Officials/Timekeepers,"2,010","2,280",270,13.40%
CMS Chaperones,525,525,-,0.00%
CMS Supplies - Athletic,975,"1,000",25,2.60%
CMS Athletic Awards/Uniforms,500,500,-,0.00%
CMS Dues & Fees - Athletics,300,400,100,33.30%
CIS Classroom Teachers,"2,193,470","2,228,836","35,366",1.60%
CIS Enrichment Teacher,"29,530","34,634","5,104",17.30%
CIS Equipment Repairs,500,"2,302","1,802",360.40%
CIS Contracted Services,-,"2,300","2,300",100.00%
CIS Supplies - Teaching,"15,456","17,299","1,843",11.90%
CIS Supplies - English/Language Arts,"7,783","7,774",-9,-0.10%
CIS Supplies - PE,"1,704","1,958",254,14.90%
CIS Supplies - Math,"1,179","1,383",204,17.30%
CIS Supplies - Assignmt & Portfolios,180,"1,077",897,498.30%
CIS Supplies - Art,"4,858","4,947",89,1.80%
CIS Supplies - Social Studies,"8,008","9,930","1,922",24.00%
CIS Supplies - Science,"2,365","1,089","-1,276",-54.00%
CIS Supplies - Library,"1,067","1,072",5,0.50%
CIS Supplies - Tech/Media,861,"1,346",485,56.30%
CIS Supplies - Challenge,620,"1,447",827,133.40%
CIS Instructional Materials,-,"11,288","11,288",0.00%
CIS Periodicals/Library Books,"6,756","7,515",759,11.20%
CIS Reference Books,"1,671","3,164","1,493",89.30%
CIS Replacement Instruc. Equipment,-,"1,624","1,624",100.00%
CIS Furniture,170,"4,399","4,229",2487.60%
CIS Dues & Fees - Classroom,"2,077","1,957",-120,-5.80%
CIS Guidance,"104,244","61,346","-42,898",-41.20%
CIS General Aide,"122,187","140,361","18,174",14.90%
CIS School Secretaries,"160,086","166,678","6,592",4.10%
CIS Supplies - Guidance,145,351,206,142.10%
CIS Supplies - Testing Materials,"3,876","4,883","1,007",26.00%
CIS Travel/Meetings,"1,475","1,180",-295,-20.00%
CIS Library/Media,"76,046","83,436","7,390",9.70%
CIS Media/Technology,"20,610","23,069","2,459",11.90%
CIS Supplies - Office,"2,739","2,630",-109,-4.00%
CIS Postage,100,772,672,672.00%
CIS Printing & Publishing,"1,524","1,967",443,29.10%
CIS Dues & Fees - Admin,240,564,324,135.00%
CIS Custodians,"250,328","199,450","-50,878",-20.30%
CIS Trans - Student Activities,"2,031","2,232",201,9.90%
CIS Extra Curric. Stipends,"40,766","44,495","3,729",9.10%
CIS Monitors,"32,334","47,492","15,158",46.90%
CIS Outside Speakers,"6,500","6,512",12,0.20%
CIS Student Awards/Programs,"1,191","1,420",229,19.20%
CIS Supplies - Student Leadership,"4,940","4,940",-,0.00%
CBS Classroom Teachers,"2,278,617","2,380,530","101,913",4.50%
CBS Kindergarten Orientation,"1,500","3,000","1,500",100.00%
CBS Enrichment Teacher,"48,186","49,429","1,243",2.60%
CBS Supplies - Teaching,"20,731","36,966","16,235",78.30%
CBS Supplies - PE,"1,180","1,317",137,11.60%
CBS Supplies - Math,"2,897",501,"-2,396",-82.70%
CBS Supplies - Art,"1,867","2,280",413,22.10%
CBS Supplies - Social Studies,340,106,-234,-68.80%
CBS Audio Visual Supplies,-,963,963,100.00%
CBS Supplies - Science,"1,720","1,915",195,11.30%
CBS Supplies - Health Ed,116,52,-64,-55.20%
CBS Supplies - STEAM,644,643,-1,-0.20%
CBS Supplies - Tech/Media,"2,488","2,173",-315,-12.70%
CBS Supplies - Pre-K,739,630,-109,-14.70%
CBS Subscriptions,"2,417","3,147",730,30.20%
CBS Reference Books,762,-,-762,-100.00%
CBS Library Books,"4,979","5,425",446,9.00%
CBS Replace Instruc. Equip,-,350,350,100.00%
CBS Furniture,"2,500","2,112",-388,-15.50%
CBS Dues & Fees - Classroom,"1,545","1,545",-,0.00%
CBS General Aide,"191,473","126,208","-65,265",-34.10%
CBS School Secretaries,"161,539","167,877","6,338",3.90%
CBS Supplies - Guidance,248,368,120,48.40%
CBS Supplies - Testing Materials,"2,129",-,"-2,129",-100.00%
CBS Travel/Meetings,"3,525","4,525","1,000",28.40%
CBS Library/Media Salary - Cert,"48,186","49,429","1,243",2.60%
CBS Media/Technology - Non-Cert,"20,293","21,636","1,343",6.60%
CBS Supplies - Office,"5,000","5,000",-,0.00%
CBS Postage,100,405,305,305.00%
CBS Printing & Publishing,"1,100","4,244","3,144",285.80%
CBS Dues & Fees - Admin,338,338,-,0.00%
CBS Custodians,"248,622","258,453","9,831",4.00%
CBS Extra-Curric. Stipends,"10,826","10,702",-124,-1.10%
CBS Monitors,"41,787","43,783","1,996",4.80%
CBS Outside Speakers,"3,960","4,000",40,1.00%
CBS Supplies - Quality Council,"1,050","1,600",550,52.40%
CPAT Parent Educators,"66,796","68,314","1,518",2.30%
CPAT Supplies,500,575,75,15.00%
CPAT Office Supplies,-,250,250,100.00%
CPAT Initial Non-Instructional Equip,350,350,-,0.00%
CPAT Dues & Fees,"1,200","1,500",300,25.00%
BOE - Travel & Meetings,"15,200","15,800",600,3.90%
CO Secretaries,"215,036","212,603","-2,433",-1.10%
CO Conferences,"2,000","2,000.10",-,0.00%
CO Postage,"9,805","12,000","2,195",22.40%
CO Employment Advertising,500,500,-,0.00%
CO Printing & Publishing,"2,535","4,585","2,050",80.90%
CO Supplies - Office,"8,150","9,000",850,10.40%
CO Professional Materials,"2,050","2,100",50,2.40%
CO Replacement Equipment,750,652,-98,-13.10%
CO Dues & Fees - Administration,"12,683","17,179","4,496",35.40%
Technology - Non-Cert,"490,963","518,591","27,628",5.60%
CREC Consultants,"2,055",-,"-2,055",-100.00%
Custodians - Non-Cert,"145,184","141,981","-3,203",-2.20%
Custodians - Subs & OT,"45,000","40,000","-5,000",-11.10%
Custodians OT - School Athletic Events,"1,500","1,500",-,0.00%
Custodians OT - Facility Rentals,"1,200","1,200",-,0.00%
Custodians OT - Non Athletic school events,"1,200","1,200",-,0.00%
Custodians - Clothing Allowance,"14,250","16,700","2,450",17.20%
Custodians - Summer,"15,620","16,280",660,4.20%
Sick Leave Buyout - Custodian,-,"3,000","3,000",100.00%
Maintenance - Vehicle Operation,"1,300","1,300",-,0.00%
Maintenance - Environmental/Safety,"16,865","17,571",706,4.20%
Maintenance - HVAC,"18,000","15,000","-3,000",-16.70%
Maintenance - Grounds Up Keep,"23,500","26,500","3,000",12.80%
Maintenance - Glass,500,500,-,0.00%
Maintenance - Boiler,"20,000","20,000",-,0.00%
Maintenance - Field (P & R),"7,950","8,550",600,7.50%
Utilities - Sewer,"7,220","7,000",-220,-3.00%
Utilities - Water,"38,503","36,500","-2,003",-5.20%
Utilities - Electricity,"456,664","429,457","-27,207",-6.00%
Utilities - Refuse Removal,"38,459","33,847","-4,612",-12.00%
Utilities - Propane Gas,"21,657","13,386","-8,271",-38.20%
Facil./Maint Equipment Repair,"1,400","2,000",600,42.90%
Facilities Contracted Services,"60,544","63,465","2,921",4.80%
Rental Equip. - Maintenance,785,"1,628",843,107.40%
Facil./Maint. - Travel & Meetings,245,-,-245,-100.00%
Custodian Supplies,"57,000","55,076","-1,924",-3.40%
Building Maintenance,"93,650","61,500","-32,150",-34.30%
Fuel - Heat - Gas,"116,550","118,159","1,609",1.40%
Fuel - Heat - Oil,"62,886","83,554","20,668",32.90%
Facil/Maint Equipment,"4,900","7,000","2,100",42.90%
Facilities Licensing/ Inspection Fees,"19,155","24,150","4,995",26.10%
Utilities - Telephone,"36,900","41,000","4,100",11.10%
SpED Summer Tutors,-,"24,500","24,500",100.00%
Special Ed Teachers,"1,424,130","1,565,558","141,428",9.90%
SpED Paras,"579,977","1,071,200","491,223",84.70%
SpED Paras - Summer,"22,184","25,000","2,816",12.70%
SpED Secretaries,"64,643","66,593","1,950",3.00%
Legal Services - SpED,"30,000","30,000",-,0.00%
SpED Contracted Services,"81,059","81,059",-,0.00%
SpED Supplies - Teaching,"9,278","4,105","-5,173",-55.80%
SpED Supplies - Office,610,795,185,30.30%
SpED Supplies - Testing Materials,"9,858","9,600",-258,-2.60%
SpED Textbooks,200,-,-200,-100.00%
SpED Initial Instruc. Equip,"1,000",-,"-1,000",-100.00%
SpED Dues & Fees,"2,309","2,514",205,8.90%
PPS Homebound Tutors,"5,000","4,000","-1,000",-20.00%
SpED Summer Certified Staff,"21,529","38,000","16,471",76.50%
PPS Social Worker,"237,301","261,152","23,851",10.10%
PPS School Psychologists,"365,744","376,399","10,655",2.90%
PPS Speech/Language,"275,886","252,748","-23,138",-8.40%
PPS Pre-K/ABA Teachers,"198,855","205,096","6,241",3.10%
SpED Nursing Serv. - Summer,"8,158","9,540","1,382",16.90%
SpED Van Monitors,"11,700","12,488",788,6.70%
SpED Nursing Serv.,"95,013","103,800","8,787",9.20%
Nursing Supplies,-,"15,000","15,000",100.00%
SpED Outside Instruction,"207,328","155,395","-51,933",-25.00%
SpED Consultant Services/Therapy,"431,813","532,939","101,126",23.40%
PPS Travel & Meetings,"1,250","1,250",-,0.00%
Transportation Out of District - SpED,"736,313","690,804","-45,509",-6.20%
Transportation in District - SpED,"267,506","316,579","49,073",18.30%
Transportation Magnet - SpED,"68,834","72,321","3,487",5.10%
Tuition Out of District - SpED,"2,179,392","2,850,262","670,870",30.80%
District Provision for Salary,"52,802","79,590","26,788",50.70%
DB Contribution -  Employee Benefits,"372,514","390,000","17,486",4.70%
OPEB - Employee Benefits,"3,067","3,343",276,9.00%
Defined Contribution Plan,"254,297","257,183","2,886",1.10%
Health & Dental Self Insurance,"4,180,367","4,441,738","261,371",6.30%
Disability & Life Insurance,"55,710","61,465","5,755",10.30%
Worker's Compensation,"144,825","152,859","8,034",5.50%
Social Security/Medicare Employer,"575,000","660,898","85,898",14.90%
Unemployment Compensation,"34,400","16,200","-18,200",-52.90%
District Teacher Substitutes,"250,208","214,987","-35,221",-14.10%
Tuition Reimb.- Teachers,"80,000","80,000",-,0.00%
Music Equipment & Repairs,"8,000","12,440","4,440",55.50%
District Contracted Services,"130,000","136,000","6,000",4.60%
Music - Supplies,"17,191","18,003",812,4.70%
Music - Textbooks,"1,375","1,869",494,35.90%
Music New Equipment,-,"6,315","6,315",100.00%
Music Dues & Fees,"9,318","10,186",868,9.30%
District TESOL Instruction,"63,876","67,828","3,952",6.20%
Summer Certified Staff,"30,548","12,000","-18,548",-60.70%
District School Nurses,"198,993","204,993","6,000",3.00%
District Nurse/Health Substitutes,"27,217","28,031",814,3.00%
Summer Non Certified Staff,"4,815",-,"-4,815",-100.00%
Summer Nursing - Summer School,"7,200","5,760","-1,440",-20.00%
District Health Aides,"60,568","62,915","2,347",3.90%
District Sick Leave - Non-Cert,"41,462",-,"-41,462",-100.00%
TESOL Travel & Meetings,975,"1,025",50,5.10%
District Supplies - Nursing,"5,175","6,038",863,16.70%
TESOL Instruc. Materials,"1,275","1,325",50,3.90%
Nursing/Health Supplies,"3,998","5,305","1,307",32.70%
School Physician,"2,500","2,500",-,0.00%
District - Bottled Water Consolidated,"6,000","10,000","4,000",66.70%
District - Travel & Meetings,"9,850","8,700","-1,150",-11.70%
BOE - Supplies/Recognition,"16,695","19,470","2,775",16.60%
Tuition Reimb. - AAC,"5,000","5,000",-,0.00%
Transportation K-12,"930,933","938,500","7,567",0.80%
Transportation Fuel,"164,001","148,472","-15,529",-9.50%
Transportation - Voc-Ed,"94,335","94,000",-335,-0.40%
Insurance - Transportation,"50,000","50,000",-,0.00%
Music - Travel/Transportation,"5,465","5,646",181,3.30%
Legal Services - Reg Ed,"25,000","30,000","5,000",20.00%
Rental Equip. & Leasing - District,"9,400","4,797","-4,603",-49.00%
Insurance - Property/Liability,"139,461","149,124","9,663",6.90%
District - Printing & Publishing,"5,225","3,600","-1,625",-31.10%
District Replacement Equipment,"1,000",-,"-1,000",-100.00%
District Dues & Fees,"30,990","19,326","-11,664",-37.60%
District Licensing & Security Fees,"4,300","9,770","5,470",127.20%
District Safety Team,"83,680","121,864","38,184",45.60%
District - Supplies - Auditorium,-,500,500,100.00%
Food Service Stop loss,"5,000","10,000","5,000",100.00%
District Unified Sports Salaries,"2,154","2,208",54,2.50%
Unified Trans/Travel/Meetings,"1,950","1,644",-306,-15.70%
Unified Awards,100,250,150,150.00%
Tuition Agri/Vocational School,"52,284",-,"-52,284",-100.00%
Tuition Adult Education,"15,726","17,218","1,492",9.50%
Tech New Equipment,"2,580",-,"-2,580",-100.00%
Tech Contracted Services,"95,629",-,"-95,629",-100.00%
Tech Supplies - Technology,"18,335",-,"-18,335",-100.00%
Tech Software,"8,560",-,"-8,560",-100.00%
Tech Educational,-,"202,785","202,785",100.00%
CIP District Infrastructure,-,"11,850","11,850",100.00%
District Administration,"1,550,771","1,612,050","61,280",4.00%
Total Athletics,"372,039","379,828","7,789",2.10%
District Professional Development,"81,437","58,077","-23,360",-28.70%
District Curriculum Writing/Development,"46,279","12,377","-33,902",-73.30%
